p0x,p0y,p0z,p1x,p1y,p1z,p2x,p2y,p2z,p3x,p3y,p3z,,,,,,,,,,,,
-81.0989282960501,64.8897152027237,1776.98242962231,-15.413748060625,54.4425336304493,1380.25945907231,-15.5047126087717,102.805668851638,1526.44104354324,-71.9464272163587,122.790605291246,1514.45127316168,0,0,0,0,0,0,0,0,0,0,0,0
-91.9732736965399,63.5262105400354,1929.68992110219,-18.7679230615603,52.6564527463408,1470.81465713812,-17.0353646440338,103.445030359728,1643.32400855514,-76.1791971259333,122.368846249985,1629.94174105872,0,0,0,0,0,0,0,0,0,0,0,0
16.782331804279,59.5670131582352,1898.99796501258,-44.9680166545388,59.0453457739658,1894.11034279657,26.1770977425036,106.423632231987,1862.18017592749,-34.9584859417692,127.889533168335,1848.79153512389,0,0,0,0,0,0,0,0,0,0,0,0
4.84299967625276,44.346969368375,1696.95707103524,60.5621060600817,47.2918282170736,1702.5205749132,68.6478141774046,89.3250820993019,1665.20600197017,15.3050387534512,108.384214919197,1647.58622323915,0,0,0,0,0,0,0,0,0,0,0,0
3.95734110681794,30.9876327466279,1565.7563609518,54.6547957701378,35.7226539512189,1557.20570203303,60.1503863174449,72.9795776126072,1510.61778633898,11.2499318018125,87.9502860633363,1490.43636636273,0,0,0,0,0,0,0,0,0,0,0,0
-99.0470265054017,51.1934064374493,2016.72459714527,-27.693679951704,46.0394208690713,1560.95248594773,-32.7135817809917,93.9450829566251,1752.35779694036,-92.4416729659888,111.900041254106,1759.8746476564,0,0,0,0,0,0,0,0,0,0,0,0
-22.3726186308214,65.7522856436294,1946.92450857696,-80.1726992249217,67.6925082991595,1930.8417799869,-7.71993647794361,111.224014594776,1915.63297445898,-64.0030343169257,135.583085591783,1912.72960637356,0,0,0,0,0,0,0,0,0,0,0,0
9.76862963996039,44.3787344895733,1816.09649676312,-42.611319277164,45.0117735527036,1804.83648512764,24.4337203967876,85.3679692615166,1770.00235501236,-23.2324681100056,105.494744197744,1727.07106594941,0,0,0,0,0,0,0,0,0,0,0,0
-75.9983841948242,31.8150832445246,1910.5418018459,-14.2364038186949,29.7790870584056,1502.34351538687,-10.935031803284,69.5948219884677,1653.76513559051,-59.4986863640399,86.2986033230151,1633.43455936153,-6010.21178151442,-285.781466158442,10259.743035161,0,0,0,0,0,0,0,0,0
-180.7695798654,53.3454348788368,2267.44230228581,-89.8269671266881,44.1443893994576,1744.04724397988,-91.8417074178242,92.1181832606149,1942.95051947104,-148.783833047379,111.145532462966,1935.810967227,-14397.3932967297,-581.642117904122,24432.6806682442,0,0,0,0,0,0,0,0,0
