id, x, y, z, roll, pitch, yaw, mse, rmse, mae, mape
0,126.53,-50.38,2054.73,171.26,5.32,97.97,2.11,1.45,1.09,1.98
0,126.53,-50.38,2054.73,171.26,5.32,97.97,2.11,1.45,1.09,1.98
0,126.53,-50.38,2054.73,171.26,5.32,97.97,2.11,1.45,1.09,1.98
0,126.53,-50.38,2054.73,171.26,5.32,97.97,2.11,1.45,1.09,1.98
0,126.5,-45.97,2054.45,174.57,3.75,98.4,0.99,0.99,0.69,1.27
0,126.5,-45.97,2054.45,174.57,3.75,98.4,0.99,0.99,0.69,1.27
0,127.47,-19.29,2050.9,167.24,6.02,99.27,1.42,1.19,0.78,1.78
0,127.47,-19.29,2050.9,167.24,6.02,99.27,1.42,1.19,0.78,1.78
0,127.47,-19.29,2050.9,167.24,6.02,99.27,1.42,1.19,0.78,1.78
0,127.47,-19.29,2050.9,167.24,6.02,99.27,1.42,1.19,0.78,1.78
0,127.47,-19.29,2050.9,167.24,6.02,99.27,1.42,1.19,0.78,1.78
0,127.47,-19.29,2050.9,167.24,6.02,99.27,1.42,1.19,0.78,1.78
0,126.88,7.3,2055.76,167.56,0.3,99.06,0.98,0.99,0.69,1.5
0,127.51,10.26,2051.5,166.68,-5.33,99.1,1.45,1.21,0.81,1.83
0,127.51,10.26,2051.5,166.68,-5.33,99.1,1.45,1.21,0.81,1.83
0,188.92,67.07,2074.41,-23.19,10.5,-174.57,41.77,6.46,4.63,10.4
0,188.92,67.07,2074.41,-23.19,10.5,-174.57,41.77,6.46,4.63,10.4
0,188.92,67.07,2074.41,-23.19,10.5,-174.57,41.77,6.46,4.63,10.4
0,188.57,96.7,2070.72,-20.57,5.63,-173.41,49.41,7.03,5.08,11.4
0,188.57,96.7,2070.72,-20.57,5.63,-173.41,49.41,7.03,5.08,11.4
0,188.57,96.7,2070.72,-20.57,5.63,-173.41,49.41,7.03,5.08,11.4
0,126.33,47.15,2051.66,166.52,0.45,98.64,2.52,1.59,0.95,2.24
0,126.33,47.15,2051.66,166.52,0.45,98.64,2.52,1.59,0.95,2.24
0,126.33,47.15,2051.66,166.52,0.45,98.64,2.52,1.59,0.95,2.24
0,125.45,70.92,2056.51,170.66,0.38,97.59,2.74,1.66,1.23,2.63
0,123.95,74.27,2066.53,179.76,4.82,96.49,0.67,0.82,0.67,1.37
0,123.95,74.27,2066.53,179.76,4.82,96.49,0.67,0.82,0.67,1.37
0,123.95,74.27,2066.53,179.76,4.82,96.49,0.67,0.82,0.67,1.37
0,123.95,74.27,2066.53,179.76,4.82,96.49,0.67,0.82,0.67,1.37
0,124.38,77.11,2063.47,173.37,5.15,96.7,1.73,1.31,0.81,1.83
0,125.13,102.25,2061.31,178.31,-7.3,97.04,0.5,0.7,0.52,1.02
0,124.27,105.54,2067.06,-179.76,-1.96,96.96,0.58,0.76,0.59,1.15
0,124.27,105.54,2067.06,-179.76,-1.96,96.96,0.58,0.76,0.59,1.15
0,124.27,105.54,2067.06,-179.76,-1.96,96.96,0.58,0.76,0.59,1.15
0,124.27,105.54,2067.06,-179.76,-1.96,96.96,0.58,0.76,0.59,1.15
0,124.27,105.54,2067.06,-179.76,-1.96,96.96,0.58,0.76,0.59,1.15
0,127.73,70.48,2044.95,177.95,-1.66,96.22,1.05,1.02,0.78,1.61
0,115.95,-39.26,2127.16,174.37,0.05,96.59,6.05,2.46,2.03,3.94
0,115.95,-39.26,2127.16,174.37,0.05,96.59,6.05,2.46,2.03,3.94
0,115.95,-39.26,2127.16,174.37,0.05,96.59,6.05,2.46,2.03,3.94
0,115.95,-39.26,2127.16,174.37,0.05,96.59,6.05,2.46,2.03,3.94
0,115.95,-39.26,2127.16,174.37,0.05,96.59,6.05,2.46,2.03,3.94
0,104.29,-160.76,2043.78,174.95,-5.45,96.86,0.51,0.71,0.48,0.9
0,104.13,-153.45,2045.15,176.44,-4.13,96.51,0.97,0.98,0.76,1.37
0,104.13,-153.45,2045.15,176.44,-4.13,96.51,0.97,0.98,0.76,1.37
0,104.13,-153.45,2045.15,176.44,-4.13,96.51,0.97,0.98,0.76,1.37
0,104.13,-153.45,2045.15,176.44,-4.13,96.51,0.97,0.98,0.76,1.37
0,104.13,-153.45,2045.15,176.44,-4.13,96.51,0.97,0.98,0.76,1.37
0,104.61,-122.12,2038.43,170.62,-10.43,96.98,0.44,0.66,0.4,0.73
