id, x, y, z, roll, pitch, yaw, mse, rmse
0,118.51,46.74,1555.68,166.83,-15.41,156.38,1.17,1.08
0,118.51,46.74,1555.68,166.83,-15.41,156.38,1.17,1.08
0,118.51,46.74,1555.68,166.83,-15.41,156.38,1.17,1.08
0,118.51,46.74,1555.68,166.83,-15.41,156.38,1.17,1.08
0,118.51,46.74,1555.68,166.83,-15.41,156.38,1.17,1.08
0,118.51,46.74,1555.68,166.83,-15.41,156.38,1.17,1.08
0,121.44,47.86,1555.74,173.37,-10.04,154.04,0.61,0.78
0,122.28,48.2,1566.46,168.58,-9.1,154.01,1.34,1.16
0,122.28,48.2,1566.46,168.58,-9.1,154.01,1.34,1.16
0,122.28,48.2,1566.46,168.58,-9.1,154.01,1.34,1.16
0,122.28,48.2,1566.46,168.58,-9.1,154.01,1.34,1.16
0,123.89,47.94,1558.29,168.55,-8.86,154.89,0.51,0.72
0,123.89,47.94,1558.29,168.55,-8.86,154.89,0.51,0.72
0,123.89,47.94,1558.29,168.55,-8.86,154.89,0.51,0.72
0,123.89,47.94,1558.29,168.55,-8.86,154.89,0.51,0.72
0,123.89,47.94,1558.29,168.55,-8.86,154.89,0.51,0.72
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,124.81,48.3,1569.87,174.31,-13.23,155.62,0.64,0.8
0,128.01,47.79,1553.53,164.56,-11.05,156.48,0.57,0.76
0,128.01,47.79,1553.53,164.56,-11.05,156.48,0.57,0.76
0,129.36,48.31,1570.02,169.84,-8.62,155.54,0.23,0.48
0,129.36,48.31,1570.02,169.84,-8.62,155.54,0.23,0.48
0,129.36,48.31,1570.02,169.84,-8.62,155.54,0.23,0.48
0,129.36,48.31,1570.02,169.84,-8.62,155.54,0.23,0.48
0,129.36,48.31,1570.02,169.84,-8.62,155.54,0.23,0.48
0,129.36,48.31,1570.02,169.84,-8.62,155.54,0.23,0.48
0,129.36,48.31,1570.02,169.84,-8.62,155.54,0.23,0.48
0,129.36,48.31,1570.02,169.84,-8.62,155.54,0.23,0.48
0,130.47,48.13,1564.26,174.05,-11.46,155.44,0.6,0.77
0,130.47,48.13,1564.26,174.05,-11.46,155.44,0.6,0.77
0,130.47,48.13,1564.26,174.05,-11.46,155.44,0.6,0.77
0,130.47,48.13,1564.26,174.05,-11.46,155.44,0.6,0.77
0,130.47,48.13,1564.26,174.05,-11.46,155.44,0.6,0.77
0,130.47,48.13,1564.26,174.05,-11.46,155.44,0.6,0.77
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,131.17,48.39,1572.56,169.52,-7.17,154.62,0.4,0.63
0,133.21,48.05,1561.87,168.14,-5.37,154.39,1.05,1.02
0,133.21,48.05,1561.87,168.14,-5.37,154.39,1.05,1.02
0,133.21,48.05,1561.87,168.14,-5.37,154.39,1.05,1.02
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
0,133.92,48.31,1570.15,169.18,-12.56,156.47,1.92,1.39
